,,,,,,,,,,
Rk.,Pitcher,Team,Throws,Fourseam,Sinker,Cutter,Splitter,Change,Slider,Curve
1,"Romero, Tommy",WSH,R,99.7,,,90.4,,55.6,
2,"Norwood, James",PHI,R,99.7,,,85.6,,40.3,
3,"Rosenberg, Kenny",LAA,L,99.7,,,,97.7,36.4,
4,"Banda, Anthony",NYY,L,99.6,98.8,,,97.1,,41.3
5,"Morgan, Eli",CLE,R,99.5,,,,87.4,23.4,56.6
6,"Paddack, Chris",MIN,R,99.5,,,,94.7,19.4,96.4
7,"Crawford, Kutter",BOS,R,99.5,,47.9,,97.4,29.2,87.7
8,"Mahle, Tyler",MIN,R,99.5,,57.9,89.9,,27,
9,"Wentz, Joey",DET,L,99.5,,26.4,,97.1,,79.7
10,"Harvey, Hunter",WSH,R,99.5,,,88.5,,,87.3
11,"Gray, Josiah",WSH,R,99.4,97.8,,,98.5,25.4,38.3
12,"Robles, Hansel",BOS,R,99.4,,,,98.8,34.7,
13,"Estévez, Carlos",COL,R,99.4,,,,88.7,32,
14,"Ynoa, Huascar",ATL,R,99.4,,,,98.9,29.4,
15,"Detmers, Reid",LAA,L,99.4,99.1,,,97.3,27.3,91.2
16,"Cotton, Jharel",SF,R,99.4,,,,76.5,37.4,71.5
17,"Swanson, Erik",SEA,R,99.4,,,94,,30.3,
18,"Faedo, Alex",DET,R,99.4,,,,99.3,17.6,
19,"Sulser, Beau",BAL,R,99.3,,50.7,,95.1,,
20,"Ryu, Hyun Jin",TOR,L,99.3,,67.1,,98.6,,84.8
21,"Barnes, Matt",BOS,R,99.3,,,,94.9,,
22,"Whitlock, Garrett",BOS,R,99.3,99.6,,,95,25.9,
23,"Ragans, Cole",TEX,L,99.3,,52.8,,97.3,,88.2
24,"García, Jarlín",SF,L,99.3,,,,98,35.9,
25,"Stanek, Ryne",HOU,R,99.3,,,92.5,,30.4,
26,"Bautista, Félix",BAL,R,99.2,,,88.9,,38,
27,"Vizcaíno, Arodys",KC,R,99.2,,,,,16,
28,"McClanahan, Shane",TB,L,99.2,,,,98.5,25.5,55.6
29,"Gomber, Austin",COL,L,99.2,,,,96.7,33.1,
30,"Richards, Trevor",TOR,R,99.2,,,,71.8,,18.9
31,"Seabold, Connor",BOS,R,99.1,,,,81.8,28.3,46.8
32,"Vesia, Alex",LAD,L,99.1,,,,99.1,36.3,
33,"Wacha, Michael",BOS,R,99.1,98.3,63.8,,83.8,,82.1
34,"Gonzales, Marco",SEA,L,99.1,,67.5,,96.3,,81
35,"Bednar, David",PIT,R,99.1,,,61.6,,,70.1
36,"Irvin, Cole",OAK,L,99.1,98.2,64.2,,99.1,,47.5
37,"Plesac, Zach",CLE,R,99.1,,,,99.1,45.3,63
