"","playerid","Name","Season","Age","O-Swing_pct","Z-Swing_pct","Clutch","Pull_pct","wRC_plus","POS","bats"
"1",13611,"Mookie Betts","2","28Younger",19.8,57,-0.15,47.2,185,"OF","R"
"2",10155,"Mike Trout","2","28Younger",21.8,59.1,-2.3,40.2,188,"OF","R"
"3",11477,"Christian Yelich","3","28Younger",30.6,71.2,0.49,39.3,174,"OF","L"
"4",10155,"Mike Trout","1","28Younger",19.7,61.5,-1.04,40.2,180,"OF","R"
"5",10155,"Mike Trout","3","28Younger",20.5,61.2,-1.17,42.4,177,"OF","R"
"6",4314,"Joey Votto","1","28Older",15.8,71.4,-0.8,38.6,163,"IF","L"
"7",11477,"Christian Yelich","2","28Younger",27.7,64.6,-0.12,34.9,167,"OF","L"
"8",17678,"Alex Bregman","3","28Younger",18.8,58.8,-1.11,45.3,167,"IF","R"
"9",2434,"Nelson Cruz","3","28Older",30.5,72,-0.39,41.7,164,"OF","R"
"10",15998,"Cody Bellinger","3","28Younger",26.8,70.4,-0.73,47.9,161,"OF","L"
"11",7859,"Charlie Blackmon","1","28Older",30.2,64.7,-0.13,43.5,142,"OF","L"
"12",12861,"Anthony Rendon","3","28Older",23.8,70.1,0.53,42.1,155,"IF","R"
"13",5361,"Freddie Freeman","1","28Younger",32.7,84.2,-0.13,38.6,149,"IF","L"
"14",5417,"Jose Altuve","1","28Younger",33.1,67.8,-0.56,40.8,160,"IF","R"
"15",12856,"George Springer","3","28Older",22.8,72.1,-0.57,40.3,155,"OF","R"
"16",9218,"Paul Goldschmidt","1","28Older",24.4,62.1,-1.81,39.5,142,"IF","R"
"17",2967,"Tommy Pham","1","28Older",18.9,59.9,-0.1,36.7,149,"OF","R"
"18",13510,"Jose Ramirez","1","28Younger",25.4,66.6,-2.57,46.3,146,"IF","B"
"19",17678,"Alex Bregman","2","28Younger",20,60.5,1.48,48.4,157,"IF","R"
"20",9777,"Nolan Arenado","1","28Younger",30.6,70.9,1.53,37.7,130,"IF","R"
"21",12861,"Anthony Rendon","1","28Younger",21,63,-0.69,40.7,141,"IF","R"
"22",9777,"Nolan Arenado","3","28Younger",37.9,73.3,0.37,42.5,130,"IF","R"
"23",13510,"Jose Ramirez","2","28Younger",22.3,62.3,-1.56,50,147,"IF","B"
"24",9777,"Nolan Arenado","2","28Younger",33.2,73.3,-0.36,39.8,133,"IF","R"
"25",9218,"Paul Goldschmidt","2","28Older",28.8,62.4,0.02,37.9,145,"IF","R"
"26",3473,"Anthony Rizzo","3","28Older",33.8,65.3,1.07,42.9,140,"IF","L"
"27",12161,"Xander Bogaerts","3","28Younger",29.4,57.7,1.36,42.6,141,"IF","R"
"28",10324,"Marcell Ozuna","1","28Younger",33.1,73.1,-0.05,38.6,143,"OF","R"
"29",7859,"Charlie Blackmon","3","28Older",33.3,70.8,1.21,42.8,127,"OF","L"
"30",5361,"Freddie Freeman","3","28Older",32.9,82.6,0.75,40.5,137,"IF","L"
"31",2434,"Nelson Cruz","1","28Older",29.6,71.4,0.25,41.8,146,"OF","R"
"32",12564,"Trevor Story","2","28Younger",32.2,74.6,-0.47,43.3,128,"IF","R"
"33",12861,"Anthony Rendon","2","28Younger",28.9,70.1,0.12,40.2,140,"IF","R"
"34",12552,"Eugenio Suarez","3","28Younger",26.6,68.6,-1.07,52,130,"IF","R"
"35",13611,"Mookie Betts","3","28Younger",21.4,61.5,1,43.6,135,"OF","R"
"36",12564,"Trevor Story","3","28Younger",31.5,72,-0.71,39.6,122,"IF","R"
